var,label,desc,unit,min,max
P_TLatexPrice,Latex price per kg,"Price of tree latex yield per unit dry weight at social and private prices, respectively.",currency unit kg-1,,
P_TNuFerApp,,Number of fertilizer application per year,,,
P_TPlantLab,Labour for planting trees,Amount of labour involved in planting trees per unit dry weight,person days kg-1,,
P_TPrunLab,Labour for prunning trees per unit dry weight,Amount of labour involved in pruning trees per unit dry weight,person days kg-1,,
P_TPrunPrice,Pruning (harvested) price per kg,"Price of tree prunings harvested from the field per unit dry weight at social and private prices, respectively.",currency unit kg-1,,
P_TSeedPrice,Seed price per tree,"Costs of tree planting material per unit initial tree biomass at social and private prices, respectively.",currency unit tree-1,,
P_TWoodHarvLab,Labour for wood harvesting per unit dry weight,Amount of labour involved in harvesting wood products per unit dry weight,person days kg=1,,
P_TWoodPrice,Wood price per kg,"Price of tree wood product yield per unit dry weight at social and private prices, respectively.",currency unit kg-1,,
P_UnitLabCost,,"Cost per unit labour at social and private prices, respectively",currency unit person days-1,,
P_UseCropStopRule_is,,"A switch determining the simulation will continue to growth crop or not when the previous crop profitability lower than the threshold value. 0 means continue to growth crop, 1 = stop to growth crop",,,
